State;Year;PacksPerCapita;treated
Pennsylvania;1971;106.3000031;0
Rhode Island;1971;123.1999969;0
South Carolina;1971;115;0
South Dakota;1971;96.69999695;0
Tennessee;1971;106.3000031;0
Texas;1971;108.9000015;0
Utah;1971;67.69999695;0
Vermont;1971;124.4000015;0
Virginia;1971;128.3999939;0
West Virginia;1971;111.5;0
Wisconsin;1971;105.4000015;0
Wyoming;1971;131.6999969;0
California;1971;121;0
Alabama;1972;101.0999985;0
Arkansas;1972;103.9000015;0
Colorado;1972;134.3000031;0
Connecticut;1972;110.8000031;0
Delaware;1972;156.3000031;0
Georgia;1972;117;0
Idaho;1972;126.0999985;0
Illinois;1972;126.5999985;0
Indiana;1972;149.1999969;0
Iowa;1972;109.4000015;0
Kansas;1972;111;0
Kentucky;1972;179.3999939;0
Louisiana;1972;125.3000031;0
Maine;1972;136.5;0
Minnesota;1972;96.80000305;0
Mississippi;1972;112.0999985;0
Missouri;1972;130;0
Montana;1972;122.1999969;0
Nebraska;1972;104.9000015;0
Nevada;1972;198.6000061;0
New Hampshire;1972;296.2000122;0
New Mexico;1972;99.30000305;0
North Carolina;1972;214.1000061;0
North Dakota;1972;103.8000031;0
Ohio;1972;124.4000015;0
Oklahoma;1972;121.6999969;0
Pennsylvania;1972;109;0
Rhode Island;1972;134.3999939;0
South Carolina;1972;118.6999969;0
South Dakota;1972;103;0
Tennessee;1972;111.5;0
Texas;1972;108.5999985;0
Utah;1972;71.30000305;0
Vermont;1972;138;0
Virginia;1972;137;0
West Virginia;1972;117.5;0
Wisconsin;1972;108.8000031;0
Wyoming;1972;140;0
California;1972;123.5;0
Alabama;1973;102.9000015;0
Arkansas;1973;108;0
Colorado;1973;137.8999939;0
Connecticut;1973;109.3000031;0
Delaware;1973;154.6999969;0
Georgia;1973;119.8000031;0
Idaho;1973;121.8000031;0
Illinois;1973;124.4000015;0
Indiana;1973;156;0
Iowa;1973;110.5999985;0
Kansas;1973;115.1999969;0
Kentucky;1973;201.8999939;0
Louisiana;1973;126.6999969;0
Maine;1973;138;0
Minnesota;1973;106.8000031;0
Mississippi;1973;115;0
Missouri;1973;132.1000061;0
Montana;1973;119.9000015;0
Nebraska;1973;106.5999985;0
Nevada;1973;201.5;0
New Hampshire;1973;279;0
New Mexico;1973;98.90000153;0
North Carolina;1973;226.5;0
North Dakota;1973;108.6999969;0
Ohio;1973;120.5;0
Oklahoma;1973;124.0999985;0
Pennsylvania;1973;110.6999969;0
Rhode Island;1973;142;0
South Carolina;1973;125.5;0
South Dakota;1973;103.5;0
Tennessee;1973;109.6999969;0
Texas;1973;110.4000015;0
Utah;1973;72.69999695;0
Vermont;1973;146.8000031;0
Virginia;1973;143.1000061;0
West Virginia;1973;116.5999985;0
Wisconsin;1973;109.5;0
Wyoming;1973;141.1999969;0
California;1973;124.4000015;0
Alabama;1974;108.1999969;0
Arkansas;1974;109.6999969;0
Colorado;1974;132.8000031;0
Connecticut;1974;112.4000015;0
Delaware;1974;151.3000031;0
Georgia;1974;123.6999969;0
Idaho;1974;125.5999985;0
Illinois;1974;131.8999939;0
Indiana;1974;159.6000061;0
Iowa;1974;116.0999985;0
Kansas;1974;118.5999985;0
Kentucky;1974;212.3999939;0
Louisiana;1974;129.8999939;0
Maine;1974;142.1000061;0
Minnesota;1974;110.5999985;0
Mississippi;1974;117.0999985;0
Missouri;1974;135.3999939;0
Montana;1974;121.9000015;0
Nebraska;1974;110.5;0
Nevada;1974;204.6999969;0
New Hampshire;1974;269.7999878;0
New Mexico;1974;100.3000031;0
North Carolina;1974;227.3000031;0
North Dakota;1974;110.5;0
Ohio;1974;122.0999985;0
Oklahoma;1974;130.5;0
Pennsylvania;1974;114.1999969;0
Rhode Island;1974;146.1000061;0
South Carolina;1974;129.6999969;0
South Dakota;1974;108.4000015;0
Tennessee;1974;114.8000031;0
Texas;1974;114.6999969;0
Utah;1974;75.59999847;0
Vermont;1974;151.8000031;0
Virginia;1974;149.6000061;0
West Virginia;1974;119.9000015;0
Wisconsin;1974;111.8000031;0
Wyoming;1974;145.8000031;0
California;1974;126.6999969;0
Alabama;1975;111.6999969;0
Arkansas;1975;114.8000031;0
Colorado;1975;131;0
Connecticut;1975;110.1999969;0
Delaware;1975;147.6000061;0
Georgia;1975;122.9000015;0
Idaho;1975;123.3000031;0
Illinois;1975;131.8000031;0
Indiana;1975;162.3999939;0
Iowa;1975;120.5;0
Kansas;1975;123.4000015;0
Kentucky;1975;223;0
Louisiana;1975;133.6000061;0
Maine;1975;140.6999969;0
Minnesota;1975;111.5;0
Mississippi;1975;116.8000031;0
Missouri;1975;135.6000061;0
Montana;1975;123.6999969;0
Nebraska;1975;114.0999985;0
Nevada;1975;205.1999969;0
New Hampshire;1975;269.1000061;0
New Mexico;1975;103.0999985;0
North Carolina;1975;226;0
North Dakota;1975;117.9000015;0
Ohio;1975;122.5;0
Oklahoma;1975;132.8999939;0
Pennsylvania;1975;114.5999985;0
Rhode Island;1975;154.6999969;0
South Carolina;1975;130.5;0
South Dakota;1975;113.5;0
Tennessee;1975;117.4000015;0
Texas;1975;116;0
Utah;1975;75.80000305;0
Vermont;1975;155.5;0
Virginia;1975;152.6999969;0
West Virginia;1975;123.1999969;0
Wisconsin;1975;113.5;0
Wyoming;1975;160.6999969;0
California;1975;127.0999985;0
Alabama;1976;116.1999969;0
Arkansas;1976;119.0999985;0
Colorado;1976;134.1999969;0
Connecticut;1976;113.4000015;0
Delaware;1976;153;0
Georgia;1976;125.9000015;0
Idaho;1976;125.0999985;0
Illinois;1976;134.3999939;0
Indiana;1976;166.6000061;0
Iowa;1976;124.4000015;0
Kansas;1976;127.6999969;0
Kentucky;1976;230.8999939;0
Louisiana;1976;139.6000061;0
Maine;1976;144.8999939;0
Minnesota;1976;116.6999969;0
Mississippi;1976;120.9000015;0
Missouri;1976;139.5;0
Montana;1976;124.9000015;0
Nebraska;1976;118.0999985;0
Nevada;1976;201.3999939;0
New Hampshire;1976;290.5;0
New Mexico;1976;102.4000015;0
North Carolina;1976;230.1999969;0
North Dakota;1976;125.4000015;0
Ohio;1976;124.5999985;0
Oklahoma;1976;138.6000061;0
Pennsylvania;1976;118.8000031;0
Rhode Island;1976;150.1999969;0
South Carolina;1976;136.8000031;0
South Dakota;1976;116.6999969;0
Tennessee;1976;121.6999969;0
Texas;1976;121.4000015;0
Utah;1976;77.90000153;0
Vermont;1976;171.1000061;0
Virginia;1976;158.1000061;0
West Virginia;1976;129.6999969;0
Wisconsin;1976;115.4000015;0
Wyoming;1976;161.5;0
California;1976;128;0
Alabama;1977;117.0999985;0
Arkansas;1977;122.5999985;0
Colorado;1977;132;0
Connecticut;1977;117.3000031;0
Delaware;1977;153.3000031;0
Georgia;1977;127.9000015;0
Idaho;1977;125;0
Illinois;1977;134;0
Indiana;1977;173;0
Iowa;1977;125.5;0
Kansas;1977;127.9000015;0
Kentucky;1977;229.3999939;0
Louisiana;1977;140;0
Maine;1977;145.6000061;0
Minnesota;1977;117.1999969;0
Mississippi;1977;122.0999985;0
Missouri;1977;140.8000031;0
Montana;1977;127;0
Nebraska;1977;117.6999969;0
Nevada;1977;190.8000031;0
New Hampshire;1977;278.7999878;0
New Mexico;1977;102.4000015;0
North Carolina;1977;217;0
North Dakota;1977;122.1999969;0
Ohio;1977;127.3000031;0
Oklahoma;1977;140.3999939;0
Pennsylvania;1977;120.0999985;0
Rhode Island;1977;148.8000031;0
South Carolina;1977;137.1999969;0
South Dakota;1977;115.5999985;0
Tennessee;1977;124.5999985;0
Texas;1977;124.1999969;0
Utah;1977;78;0
Vermont;1977;169.3999939;0
Virginia;1977;157.6999969;0
West Virginia;1977;133.8999939;0
Wisconsin;1977;117.1999969;0
Wyoming;1977;160.3999939;0
California;1977;126.4000015;0
Alabama;1978;123;0
Arkansas;1978;127.3000031;0
Colorado;1978;129.1999969;0
Connecticut;1978;117.5;0
Delaware;1978;155.5;0
Georgia;1978;130.6000061;0
Idaho;1978;122.8000031;0
Illinois;1978;136.6999969;0
Indiana;1978;150.8999939;0
Iowa;1978;127.0999985;0
Kansas;1978;127.0999985;0
Kentucky;1978;224.6999969;0
Louisiana;1978;142.6999969;0
Maine;1978;143.8999939;0
Minnesota;1978;118.9000015;0
Mississippi;1978;124.9000015;0
Missouri;1978;141.8000031;0
Montana;1978;127.1999969;0
Nebraska;1978;117.4000015;0
Nevada;1978;187;0
New Hampshire;1978;269.6000061;0
New Mexico;1978;103.0999985;0
North Carolina;1978;205.5;0
North Dakota;1978;121.9000015;0
Ohio;1978;131.3000031;0
Oklahoma;1978;143.6000061;0
Pennsylvania;1978;122.3000031;0
Rhode Island;1978;146.8000031;0
South Carolina;1978;140.3999939;0
South Dakota;1978;116.9000015;0
Tennessee;1978;127.3000031;0
Texas;1978;126.5999985;0
Utah;1978;79.59999847;0
Vermont;1978;162.3999939;0
Virginia;1978;155.8999939;0
West Virginia;1978;131.6000061;0
Wisconsin;1978;116.6999969;0
Wyoming;1978;160.3000031;0
California;1978;126.0999985;0
Alabama;1979;121.4000015;0
Arkansas;1979;126.5;0
Colorado;1979;131.5;0
Connecticut;1979;117.4000015;0
Delaware;1979;150.1999969;0
Georgia;1979;131;0
Idaho;1979;117.5;0
Illinois;1979;135.3000031;0
Indiana;1979;148.8999939;0
Iowa;1979;124.1999969;0
Kansas;1979;126.4000015;0
Kentucky;1979;214.8999939;0
Louisiana;1979;140.1000061;0
Maine;1979;138.5;0
Minnesota;1979;118.3000031;0
Mississippi;1979;123.9000015;0
Missouri;1979;140.1999969;0
Montana;1979;120.3000031;0
Nebraska;1979;116.0999985;0
Nevada;1979;183.3000031;0
New Hampshire;1979;254.6000061;0
New Mexico;1979;101;0
North Carolina;1979;197.3000031;0
North Dakota;1979;121.3000031;0
Ohio;1979;130.8999939;0
Oklahoma;1979;141.6000061;0
Pennsylvania;1979;122.5999985;0
Rhode Island;1979;145.8000031;0
South Carolina;1979;135.6999969;0
South Dakota;1979;117.4000015;0
Tennessee;1979;127.1999969;0
Texas;1979;126.4000015;0
Utah;1979;79.09999847;0
Vermont;1979;160.8999939;0
Virginia;1979;151.8000031;0
West Virginia;1979;122.0999985;0
Wisconsin;1979;117.0999985;0
Wyoming;1979;168.6000061;0
California;1979;121.9000015;0
Alabama;1980;123.1999969;0
Arkansas;1980;131.8000031;0
Colorado;1980;131;0
Connecticut;1980;118;0
Delaware;1980;150.5;0
Georgia;1980;134;0
Idaho;1980;115.1999969;0
Illinois;1980;135.1999969;0
Indiana;1980;146.8999939;0
Iowa;1980;124.5999985;0
Kansas;1980;127.0999985;0
Kentucky;1980;215.3000031;0
Louisiana;1980;143.8000031;0
Maine;1980;141.1999969;0
Minnesota;1980;117.6999969;0
Mississippi;1980;127;0
Missouri;1980;142.1000061;0
Montana;1980;122;0
Nebraska;1980;116.3000031;0
Nevada;1980;177.6999969;0
New Hampshire;1980;247.8000031;0
New Mexico;1980;102.6999969;0
North Carolina;1980;187.8000031;0
North Dakota;1980;123.6999969;0
Ohio;1980;133.5;0
Oklahoma;1980;141.6000061;0
Pennsylvania;1980;124;0
Rhode Island;1980;149.3000031;0
South Carolina;1980;138.3000031;0
South Dakota;1980;114.6999969;0
Tennessee;1980;130.3999939;0
Texas;1980;129.6999969;0
Utah;1980;74.80000305;0
Vermont;1980;161.6000061;0
Virginia;1980;148.8999939;0
West Virginia;1980;122.3000031;0
Wisconsin;1980;117.5999985;0
Wyoming;1980;158.1000061;0
California;1980;120.1999969;0
Alabama;1981;119.5999985;0
Arkansas;1981;128.6999969;0
Colorado;1981;133.8000031;0
Connecticut;1981;116.4000015;0
Delaware;1981;152.6000061;0
Georgia;1981;131.6999969;0
Idaho;1981;114.0999985;0
Illinois;1981;133;0
Indiana;1981;148.5;0
Iowa;1981;132.8999939;0
Kansas;1981;132;0
Kentucky;1981;209.6999969;0
Louisiana;1981;144;0
Maine;1981;138.8999939;0
Minnesota;1981;120.8000031;0
Mississippi;1981;125.3000031;0
Missouri;1981;140.5;0
Montana;1981;121.0999985;0
Nebraska;1981;117;0
Nevada;1981;171.8999939;0
New Hampshire;1981;245.3999939;0
New Mexico;1981;103;0
North Carolina;1981;179.3000031;0
North Dakota;1981;125.6999969;0
Ohio;1981;132.8000031;0
Oklahoma;1981;143.6999969;0
Pennsylvania;1981;125.1999969;0
Rhode Island;1981;151.1999969;0
South Carolina;1981;136.1000061;0
South Dakota;1981;115.6999969;0
Tennessee;1981;129.1000061;0
Texas;1981;129;0
Utah;1981;77.59999847;0
Vermont;1981;163.8000031;0
Virginia;1981;149.8999939;0
West Virginia;1981;120.5;0
Wisconsin;1981;119.9000015;0
Wyoming;1981;163.1000061;0
California;1981;118.5999985;0
Alabama;1982;119.0999985;0
Arkansas;1982;127.4000015;0
Colorado;1982;130.5;0
Connecticut;1982;114.6999969;0
Delaware;1982;154.1000061;0
Georgia;1982;131.1999969;0
Idaho;1982;111.5;0
Illinois;1982;130.6999969;0
Indiana;1982;147.6999969;0
Iowa;1982;116.1999969;0
Kansas;1982;130.8999939;0
Kentucky;1982;210.6000061;0
Louisiana;1982;143.8999939;0
Maine;1982;139.5;0
Minnesota;1982;119.4000015;0
Mississippi;1982;125.8000031;0
Missouri;1982;139.6999969;0
Montana;1982;122.4000015;0
Nebraska;1982;117.0999985;0
Nevada;1982;165.1000061;0
New Hampshire;1982;239.8000031;0
New Mexico;1982;97.5;0
North Carolina;1982;179;0
North Dakota;1982;126.8000031;0
Ohio;1982;134;0
Oklahoma;1982;147;0
Pennsylvania;1982;123.3000031;0
Rhode Island;1982;146.3000031;0
South Carolina;1982;136;0
South Dakota;1982;113;0
Tennessee;1982;131.3999939;0
Texas;1982;131.1999969;0
Utah;1982;73.59999847;0
Vermont;1982;162.3000031;0
Virginia;1982;147.3999939;0
West Virginia;1982;119.8000031;0
Wisconsin;1982;115.5999985;0
Wyoming;1982;157.6999969;0
California;1982;115.4000015;0
Alabama;1983;116.3000031;0
Arkansas;1983;128;0
Colorado;1983;125.3000031;0
Connecticut;1983;114.0999985;0
Delaware;1983;149.6000061;0
Georgia;1983;128.6000061;0
Idaho;1983;111.3000031;0
Illinois;1983;127.9000015;0
Indiana;1983;143;0
Iowa;1983;115.5999985;0
Kansas;1983;127.5999985;0
Kentucky;1983;201.1000061;0
Louisiana;1983;133.6999969;0
Maine;1983;135.3999939;0
Minnesota;1983;113.1999969;0
Mississippi;1983;122.3000031;0
Missouri;1983;134.1000061;0
Montana;1983;113.6999969;0
Nebraska;1983;110.8000031;0
Nevada;1983;159.1999969;0
New Hampshire;1983;232.8999939;0
New Mexico;1983;96.30000305;0
North Carolina;1983;169.8000031;0
North Dakota;1983;119.5999985;0
Ohio;1983;130;0
Oklahoma;1983;140;0
Pennsylvania;1983;125.3000031;0
Rhode Island;1983;135.8000031;0
South Carolina;1983;131.1000061;0
South Dakota;1983;109.8000031;0
Tennessee;1983;129;0
Texas;1983;126.4000015;0
Utah;1983;69;0
Vermont;1983;153.8000031;0
Virginia;1983;144.6999969;0
West Virginia;1983;115.6999969;0
Wisconsin;1983;106.3000031;0
Wyoming;1983;141.1999969;0
California;1983;110.8000031;0
Alabama;1984;113;0
Arkansas;1984;123.0999985;0
Colorado;1984;119.6999969;0
Connecticut;1984;112.5;0
Delaware;1984;144;0
Georgia;1984;126.3000031;0
Idaho;1984;103.5999985;0
Illinois;1984;124;0
Indiana;1984;137.8000031;0
Iowa;1984;111.1999969;0
Kansas;1984;121.6999969;0
Kentucky;1984;183.1999969;0
Louisiana;1984;128.8999939;0
Maine;1984;135.5;0
Minnesota;1984;110.8000031;0
Mississippi;1984;116.4000015;0
Missouri;1984;130;0
Montana;1984;110.0999985;0
Nebraska;1984;107.6999969;0
Nevada;1984;136.6000061;0
New Hampshire;1984;215.1000061;0
New Mexico;1984;88.90000153;0
North Carolina;1984;160.6000061;0
North Dakota;1984;109.4000015;0
Ohio;1984;127.0999985;0
Oklahoma;1984;128.1000061;0
Pennsylvania;1984;115.3000031;0
Rhode Island;1984;136.8999939;0
South Carolina;1984;127;0
South Dakota;1984;105.6999969;0
Tennessee;1984;125.0999985;0
Texas;1984;117.1999969;0
Utah;1984;66.30000305;0
Vermont;1984;144.3000031;0
Virginia;1984;136.8000031;0
West Virginia;1984;111.9000015;0
Wisconsin;1984;105.5999985;0
Wyoming;1984;128.8999939;0
California;1984;104.8000031;0
Alabama;1985;114.5;0
Arkansas;1985;125.8000031;0
Colorado;1985;112.4000015;0
Connecticut;1985;111;0
Delaware;1985;144.5;0
Georgia;1985;128.8000031;0
Idaho;1985;100.6999969;0
Illinois;1985;121.5999985;0
Indiana;1985;135.3000031;0
Iowa;1985;109.4000015;0
Kansas;1985;115.6999969;0
Kentucky;1985;182.3999939;0
Louisiana;1985;125;0
Maine;1985;127.9000015;0
Minnesota;1985;113;0
Mississippi;1985;115.3000031;0
Missouri;1985;129.1999969;0
Montana;1985;103.5999985;0
Nebraska;1985;105.0999985;0
Nevada;1985;146.6999969;0
New Hampshire;1985;201.1000061;0
New Mexico;1985;88;0
North Carolina;1985;156.3000031;0
North Dakota;1985;103.1999969;0
Ohio;1985;126.6999969;0
Oklahoma;1985;124.1999969;0
Pennsylvania;1985;115.8000031;0
Rhode Island;1985;133.3999939;0
South Carolina;1985;125.4000015;0
South Dakota;1985;104.4000015;0
Tennessee;1985;128.6999969;0
Texas;1985;115.9000015;0
Utah;1985;66.5;0
Vermont;1985;144.5;0
Virginia;1985;134.6000061;0
West Virginia;1985;109.0999985;0
Wisconsin;1985;107;0
Wyoming;1985;125.6999969;0
California;1985;102.8000031;0
Alabama;1986;116.3000031;0
Arkansas;1986;126;0
Colorado;1986;109.9000015;0
Connecticut;1986;108.5;0
Delaware;1986;142.3999939;0
Georgia;1986;129;0
Idaho;1986;96.69999695;0
Illinois;1986;118.1999969;0
Indiana;1986;137.6000061;0
Iowa;1986;104.0999985;0
Kansas;1986;109.4000015;0
Kentucky;1986;179.8000031;0
Louisiana;1986;121.1999969;0
Maine;1986;119;0
Minnesota;1986;104.3000031;0
Mississippi;1986;113.1999969;0
Missouri;1986;128.8000031;0
Montana;1986;97.80000305;0
Nebraska;1986;103.0999985;0
Nevada;1986;142.6000061;0
New Hampshire;1986;195.8999939;0
New Mexico;1986;88.19999695;0
North Carolina;1986;154.3999939;0
North Dakota;1986;99.80000305;0
Ohio;1986;126.3000031;0
Oklahoma;1986;119.9000015;0
Pennsylvania;1986;113.9000015;0
Rhode Island;1986;136.3000031;0
South Carolina;1986;126.5999985;0
South Dakota;1986;97;0
Tennessee;1986;129;0
Texas;1986;113.6999969;0
Utah;1986;64.40000153;0
Vermont;1986;131.1999969;0
Virginia;1986;135.8000031;0
West Virginia;1986;112.0999985;0
Wisconsin;1986;105.4000015;0
Wyoming;1986;124.8000031;0
California;1986;99.69999695;0
Alabama;1987;114;0
Arkansas;1987;122.3000031;0
Colorado;1987;102.4000015;0
Connecticut;1987;109;0
Delaware;1987;141;0
Georgia;1987;129.3000031;0
Idaho;1987;95;0
Illinois;1987;109.5;0
Indiana;1987;134;0
Iowa;1987;101.0999985;0
Kansas;1987;105.1999969;0
Kentucky;1987;171.1999969;0
Louisiana;1987;116.5;0
Maine;1987;125;0
Minnesota;1987;108.8000031;0
Mississippi;1987;110;0
Missouri;1987;128.6999969;0
Montana;1987;91.69999695;0
Nebraska;1987;101.3000031;0
Nevada;1987;147.6999969;0
New Hampshire;1987;195.1000061;0
New Mexico;1987;82.30000305;0
North Carolina;1987;150.5;0
North Dakota;1987;92.30000305;0
Ohio;1987;124.5999985;0
Oklahoma;1987;113.0999985;0
Pennsylvania;1987;110.5999985;0
Rhode Island;1987;124.4000015;0
South Carolina;1987;126.5999985;0
South Dakota;1987;95.80000305;0
Tennessee;1987;130.6000061;0
Texas;1987;105.8000031;0
Utah;1987;67.69999695;0
Vermont;1987;128.3000031;0
Virginia;1987;133;0
West Virginia;1987;107.5;0
Wisconsin;1987;106;0
Wyoming;1987;110.4000015;0
California;1987;97.5;0
Alabama;1988;112.0999985;0
Arkansas;1988;121.5;0
Colorado;1988;94.59999847;0
Connecticut;1988;104.8000031;0
Delaware;1988;137.1000061;0
Georgia;1988;124.0999985;0
Idaho;1988;84.5;0
Illinois;1988;107.5999985;0
Indiana;1988;134;0
Iowa;1988;100.1999969;0
Kansas;1988;103.1999969;0
Kentucky;1988;173.1999969;0
Louisiana;1988;110.9000015;0
Maine;1988;125;0
Minnesota;1988;94.09999847;0
Mississippi;1988;109;0
Missouri;1988;127.4000015;0
Montana;1988;87.09999847;0
Nebraska;1988;92.90000153;0
Nevada;1988;141.8999939;0
New Hampshire;1988;180.3999939;0
New Mexico;1988;77.69999695;0
North Carolina;1988;146;0
North Dakota;1988;87.09999847;0
Ohio;1988;122.4000015;0
Oklahoma;1988;103.5999985;0
Pennsylvania;1988;107.5999985;0
Rhode Island;1988;138;0
South Carolina;1988;124.4000015;0
South Dakota;1988;91.90000153;0
Tennessee;1988;125.3000031;0
Texas;1988;96.5;0
Utah;1988;55;0
Vermont;1988;128.6999969;0
Virginia;1988;129.5;0
West Virginia;1988;109.0999985;0
Wisconsin;1988;102.5999985;0
Wyoming;1988;114.3000031;0
California;1988;90.09999847;0
Alabama;1989;105.5999985;0
Arkansas;1989;118.3000031;0
Colorado;1989;88.80000305;0
Connecticut;1989;100.5999985;0
Delaware;1989;131.6999969;0
Georgia;1989;117.0999985;0
Idaho;1989;78.40000153;0
Illinois;1989;104.5999985;0
Indiana;1989;132.5;0
Iowa;1989;94.40000153;0
Kansas;1989;96.5;0
Kentucky;1989;171.6000061;0
Louisiana;1989;103.5999985;0
Maine;1989;122.4000015;0
Minnesota;1989;92.30000305;0
Mississippi;1989;108.3000031;0
Missouri;1989;122.8000031;0
Montana;1989;86.19999695;0
Nebraska;1989;93.80000305;0
Nevada;1989;137.8999939;0
New Hampshire;1989;172.8999939;0
New Mexico;1989;74.40000153;0
North Carolina;1989;139.3000031;0
North Dakota;1989;84.09999847;0
Ohio;1989;118.5999985;0
Oklahoma;1989;97.5;0
Pennsylvania;1989;107.0999985;0
Rhode Island;1989;120.8000031;0
South Carolina;1989;122.4000015;0
South Dakota;1989;87.40000153;0
Tennessee;1989;124.6999969;0
Texas;1989;94.5;0
Utah;1989;57;0
Vermont;1989;120.9000015;0
Virginia;1989;122.5;0
West Virginia;1989;104;0
Wisconsin;1989;100.3000031;0
Wyoming;1989;111.4000015;0
California;1989;82.40000153;1
Alabama;1990;108.5999985;0
Arkansas;1990;113.0999985;0
Colorado;1990;87.40000153;0
Connecticut;1990;91.5;0
Delaware;1990;127.1999969;0
Georgia;1990;113.8000031;0
Idaho;1990;90.09999847;0
Illinois;1990;94.09999847;0
Indiana;1990;128.3000031;0
Iowa;1990;95.40000153;0
Kansas;1990;94.30000305;0
Kentucky;1990;182.5;0
Louisiana;1990;101.5;0
Maine;1990;117.5;0
Minnesota;1990;90.69999695;0
Mississippi;1990;101.8000031;0
Missouri;1990;119.0999985;0
Montana;1990;84.69999695;0
Nebraska;1990;89.90000153;0
Nevada;1990;137.3000031;0
New Hampshire;1990;152.3999939;0
New Mexico;1990;70.80000305;0
North Carolina;1990;133.6999969;0
North Dakota;1990;77.09999847;0
Ohio;1990;115.5;0
Oklahoma;1990;88.40000153;0
Pennsylvania;1990;101.3000031;0
Rhode Island;1990;101.4000015;0
South Carolina;1990;118.5999985;0
South Dakota;1990;88.30000305;0
Tennessee;1990;121.8000031;0
Texas;1990;85.59999847;0
Utah;1990;53.40000153;0
Vermont;1990;124.3000031;0
Virginia;1990;118.9000015;0
West Virginia;1990;104.0999985;0
Wisconsin;1990;94;0
Wyoming;1990;96.90000153;0
California;1990;77.80000305;1
Alabama;1991;107.9000015;0
Arkansas;1991;116.8000031;0
Colorado;1991;90.19999695;0
Connecticut;1991;86.69999695;0
Delaware;1991;118.8000031;0
Georgia;1991;109.5999985;0
Idaho;1991;85.40000153;0
Illinois;1991;96.09999847;0
Indiana;1991;127.1999969;0
Iowa;1991;97.09999847;0
Kansas;1991;91.80000305;0
Kentucky;1991;170.3999939;0
Louisiana;1991;107.1999969;0
Maine;1991;116.0999985;0
Minnesota;1991;86.19999695;0
Mississippi;1991;105.5999985;0
Missouri;1991;119.9000015;0
Montana;1991;82.90000153;0
Nebraska;1991;92.40000153;0
Nevada;1991;115.5;0
New Hampshire;1991;144.8000031;0
New Mexico;1991;69.90000153;0
North Carolina;1991;132.6999969;0
North Dakota;1991;85.19999695;0
Ohio;1991;113.1999969;0
Oklahoma;1991;87.80000305;0
Pennsylvania;1991;102.5;0
Rhode Island;1991;103.5999985;0
South Carolina;1991;121.5;0
South Dakota;1991;91.80000305;0
Tennessee;1991;120.5999985;0
Texas;1991;79.40000153;0
Utah;1991;53.5;0
Vermont;1991;120.9000015;0
Virginia;1991;109.0999985;0
West Virginia;1991;100.0999985;0
Wisconsin;1991;95.5;0
Wyoming;1991;109.0999985;0
California;1991;68.69999695;1
Alabama;1992;109.0999985;0
Arkansas;1992;126;0
Colorado;1992;88.30000305;0
Connecticut;1992;83.5;0
Delaware;1992;120;0
Georgia;1992;109.1999969;0
Idaho;1992;85.09999847;0
Illinois;1992;94.80000305;0
Indiana;1992;128.1999969;0
Iowa;1992;95.19999695;0
Kansas;1992;90;0
Kentucky;1992;167.6000061;0
Louisiana;1992;108.5;0
Maine;1992;114.5;0
Minnesota;1992;83.80000305;0
Mississippi;1992;103.9000015;0
Missouri;1992;122.3000031;0
Montana;1992;86.59999847;0
Nebraska;1992;90.59999847;0
Nevada;1992;110;0
New Hampshire;1992;143.6999969;0
New Mexico;1992;71.40000153;0
North Carolina;1992;128.8999939;0
