year,state_id,lgearnwke,non_missing_obs,in_lab_force,unemp,uhourse,state,first_dif_lnwage,prev_lnwage,prev_unemp,prev_uhourse,prev_first_dif_lnwage
1981,AZ,5.2409682,.57271093,.3303411,.061662197,36.965519,86,.077185631,5.1637826,.046666667,36.145363,.0039124489
1982,AZ,5.3891525,.56617647,.33455881,.066298343,38.048702,86,.1481843,5.2409682,.061662197,36.965519,.077185631
1983,AZ,5.3072667,.54243541,.31549814,.091644205,36.493198,86,-.081885815,5.3891525,.066298343,38.048702,.1481843
1984,AZ,5.4580173,.57555556,.31111112,.041935485,37.563705,86,.15075064,5.3072667,.091644205,36.493198,-.081885815
1985,AZ,5.4992003,.57066667,.29866666,.07984791,37.17757,86,.041182995,5.4580173,.041935485,37.563705,.15075064
1986,AZ,5.5116954,.63095236,.27142859,.05882353,37.871696,86,.012495041,5.4992003,.07984791,37.17757,.041182995
1987,AZ,5.5385032,.61848342,.29146919,.043478262,37.440613,86,.026807785,5.5116954,.05882353,37.871696,.012495041
1988,AZ,5.6047525,.60805082,.26694915,.0433526,37.707317,86,.066249371,5.5385032,.043478262,37.440613,.026807785
1989,AZ,5.6660147,.63436121,0,.046255507,37.638889,86,.061262131,5.6047525,.0433526,37.707317,.066249371
1990,AZ,5.7932863,.63516486,0,.037362639,38.906574,86,.12727165,5.6660147,.046255507,37.638889,.061262131
1991,AZ,5.8504138,.64733177,0,.044083528,38.53405,86,.057127476,5.7932863,.037362639,38.906574,.12727165
1992,AZ,5.8149357,.61465722,0,.047281325,37.573078,86,-.035478115,5.8504138,.044083528,38.53405,.057127476
1993,AZ,5.8530588,.62180972,0,.051044084,38.253731,86,.038123131,5.8149357,.047281325,37.573078,-.035478115
1994,AZ,5.8382263,.64719623,.24766356,.074534163,35.906136,86,-.014832497,5.8530588,.051044084,38.253731,.038123131
1995,AZ,5.8298702,.64367819,.23371647,.047499999,35.851189,86,-.0083560944,5.8382263,.074534163,35.906136,-.014832497
1996,AZ,5.8489189,.64298725,.24954462,.041262135,35.025497,86,.019048691,5.8298702,.047499999,35.851189,-.0083560944
1997,AZ,5.8960061,.59239131,.30072463,.059585493,34.963303,86,.047087193,5.8489189,.041262135,35.025497,.019048691
1998,AZ,5.9335771,.62235069,.28516379,.029649595,36.331268,86,.037570953,5.8960061,.059585493,34.963303,.047087193
1999,AZ,6.0570431,.63697481,.27394959,.034722224,36.184696,86,.12346601,5.9335771,.029649595,36.331268,.037570953
1979,CA,5.192349,.56872308,.34088951,.059643012,36.578205,93,,,,,
1980,CA,5.3339748,.56910127,.32392073,.059437752,36.841602,93,.14162588,5.192349,.059643012,36.578205,
1981,CA,5.3839974,.57950622,.30953014,.067281812,36.44709,93,.050022602,5.3339748,.059437752,36.841602,.14162588
1982,CA,5.4876866,.57503283,.29908016,.089988753,36.765541,93,.10368919,5.3839974,.067281812,36.44709,.050022602
1983,CA,5.5212708,.5772953,.30761182,.078579523,36.612595,93,.033584118,5.4876866,.089988753,36.765541,.10368919
1984,CA,5.5913248,.57695431,.30835813,.070003912,36.714485,93,.070054054,5.5212708,.078579523,36.612595,.033584118
1985,CA,5.6399665,.60402685,.28747204,.061616953,37.102314,93,.048641682,5.5913248,.070003912,36.714485,.070054054
1986,CA,5.6906128,.59725869,.29892096,.057404324,37.416016,93,.050646305,5.6399665,.061616953,37.102314,.048641682
1987,CA,5.7010269,.6107226,.29050118,.04106776,36.908875,93,.010414124,5.6906128,.057404324,37.416016,.050646305
1988,CA,5.7416568,.61810702,.28312758,.041905854,37.130493,93,.040629864,5.7010269,.04106776,36.908875,.010414124
1989,CA,5.8338752,.62314337,0,.035578582,37.341465,93,.092218399,5.7416568,.041905854,37.130493,.040629864
1990,CA,5.8747768,.6170994,0,.03409389,37.194221,93,.040901661,5.8338752,.035578582,37.341465,.092218399
1991,CA,5.9438028,.59291053,0,.03267793,37.529659,93,.069025993,5.8747768,.03409389,37.194221,.040901661
1992,CA,5.9860644,.57934219,0,.036064629,37.79781,93,.0422616,5.9438028,.03267793,37.529659,.069025993
1993,CA,5.9857521,.58373749,0,.043366618,37.470184,93,-.00031232834,5.9860644,.036064629,37.79781,.0422616
1994,CA,5.9984283,.58365184,.28109381,.074437626,36.399498,93,.012676239,5.9857521,.043366618,37.470184,-.00031232834
1995,CA,5.9792824,.58856261,.28995362,.06617327,35.79937,93,-.019145966,5.9984283,.074437626,36.399498,.012676239
1996,CA,6.0324779,.59283286,.2854495,.060095113,35.73111,93,.053195477,5.9792824,.06617327,35.79937,-.019145966
1997,CA,6.0118928,.5984059,.28326181,.066295981,35.619877,93,-.02058506,6.0324779,.060095113,35.73111,.053195477
1998,CA,6.05795,.6291756,.2703034,.049559008,35.128593,93,.046057224,6.0118928,.066295981,35.619877,-.02058506
1999,CA,6.1271167,.60054594,.27904156,.053007994,35.573738,93,.06916666,6.05795,.049559008,35.128593,.046057224
1979,CO,5.0791607,.56076133,.33382139,.035164837,36.37598,84,,,,,
1980,CO,5.1961889,.57631952,.30813125,.05773196,35.923267,84,.11702824,5.0791607,.035164837,36.37598,
1981,CO,5.2650962,.57015306,.30357143,.051282052,35.863533,84,.068907261,5.1961889,.05773196,35.923267,.11702824
1982,CO,5.2787619,.59807956,.27846366,.045627378,35.568806,84,.013665676,5.2650962,.051282052,35.863533,.068907261
1983,CO,5.4080925,.61463416,.24634147,.071197413,36.287697,84,.12933064,5.2787619,.045627378,35.568806,.013665676
1984,CO,5.5274205,.62196863,.25249642,.055343512,37.321102,84,.11932802,5.4080925,.071197413,36.287697,.12933064
1985,CO,5.5165272,.68308353,.22698073,.030470913,36.655174,84,-.010893345,5.5274205,.055343512,37.321102,.11932802
1986,CO,5.5779405,.63360322,.2388664,.066489361,37.539936,84,.061413288,5.5165272,.030470913,36.655174,-.010893345
1987,CO,5.5437231,.67126435,.18390805,.053521127,36.482876,84,-.034217358,5.5779405,.066489361,37.539936,.061413288
1988,CO,5.6180043,.69438672,.18503119,.056122448,37.005989,84,.074281216,5.5437231,.053521127,36.482876,-.034217358
1989,CO,5.6547165,.69702971,0,.059405942,38.019886,84,.03671217,5.6180043,.056122448,37.005989,.074281216
1990,CO,5.796093,.68488163,0,.036429871,37.13298,84,.1413765,5.6547165,.059405942,38.019886,.03671217
1991,CO,5.7973347,.66730767,0,.03846154,37.951008,84,.001241684,5.796093,.036429871,37.13298,.1413765
1992,CO,5.870317,.70018977,0,.032258064,37.983738,84,.072982311,5.7973347,.03846154,37.951008,.001241684
1993,CO,5.8891101,.67729831,0,.039399624,37.728531,84,.018793106,5.870317,.032258064,37.983738,.072982311
1994,CO,5.9433222,.69083971,.20419848,.038369305,36.027626,84,.054212093,5.8891101,.039399624,37.728531,.018793106
1995,CO,5.9550095,.69133574,.18050541,.037444934,36.618797,84,.011687279,5.9433222,.038369305,36.027626,.054212093
1996,CO,5.9668131,.64671814,.2027027,.036319613,35.859703,84,.011803627,5.9550095,.037444934,36.618797,.011687279
1997,CO,6.0008845,.68382353,.18382353,.029279279,35.674732,84,.034071445,5.9668131,.036319613,35.859703,.011803627
1998,CO,6.0961037,.69841272,.18342152,.036717061,36.560608,84,.095219135,6.0008845,.029279279,35.674732,.034071445
1999,CO,6.1685901,.69230771,.19899665,.010438413,36.871983,84,.072486401,6.0961037,.036717061,36.560608,.095219135
1979,CT,5.107017,.60990101,.32871288,.038348082,35.412338,16,,,,,
1980,CT,5.1374831,.63167262,.30604982,.03846154,35.076057,16,.03046608,5.107017,.038348082,35.412338,
1981,CT,5.1701269,.57661289,.34274194,.061349694,34.136364,16,.032643795,5.1374831,.03846154,35.076057,.03046608
1982,CT,5.3143215,.62247193,.30337077,.058064517,33.808662,16,.1441946,5.1701269,.061349694,34.136364,.032643795
1983,CT,5.3888969,.6388889,.27976191,.041322313,34.07143,16,.074575424,5.3143215,.058064517,33.808662,.1441946
1984,CT,5.5438414,.66328603,.2494929,.056756757,36.201836,16,.15494442,5.3888969,.041322313,34.07143,.074575424
1985,CT,5.5945234,.67370439,.24952015,.035805628,35.703705,16,.050682068,5.5438414,.056756757,36.201836,.15494442
1986,CT,5.6198153,.6857143,.22448979,.042105265,36.017857,16,.02529192,5.5945234,.035805628,35.703705,.050682068
1987,CT,5.6621132,.68723404,.23829788,.025139665,36.470589,16,.04229784,5.6198153,.042105265,36.017857,.02529192
1988,CT,5.67377,.72979796,.18434343,.021671826,35.851212,16,.011656761,5.6621132,.025139665,36.470589,.04229784
1989,CT,5.8441305,.70388347,0,.016990291,35.189655,16,.17036057,5.67377,.021671826,35.851212,.011656761
1990,CT,5.9148889,.71655327,0,.01814059,35.642406,16,.070758343,5.8441305,.016990291,35.189655,.17036057
1991,CT,6.0063782,.6651786,0,.029017856,36.758389,16,.091489315,5.9148889,.01814059,35.642406,.070758343
1992,CT,5.9792085,.70601338,0,.048997771,36.176655,16,-.027169704,6.0063782,.029017856,36.758389,.091489315
1993,CT,5.954102,.67627496,0,.035476718,35.940983,16,-.02510643,5.9792085,.048997771,36.176655,-.027169704
1994,CT,6.017777,.68965518,.24668436,.038732395,35.180771,16,.063674927,5.954102,.035476718,35.940983,-.02510643
1995,CT,6.1156549,.75476837,.16893733,.029508196,34.95668,16,.097877979,6.017777,.038732395,35.180771,.063674927
1996,CT,6.1237712,.72506082,.17274939,.032352943,35.389263,16,.0081162453,6.1156549,.029508196,34.95668,.097877979
1997,CT,6.0993147,.7432763,.16381419,.046783626,35.032894,16,-.024456501,6.1237712,.032352943,35.389263,.0081162453
1998,CT,6.1585174,.74246573,.17260274,.0099337753,34.726936,16,.059202671,6.0993147,.046783626,35.032894,-.024456501
1999,CT,6.1841564,.73658538,.1902439,.024096385,35.956955,16,.025639057,6.1585174,.0099337753,34.726936,.059202671
1979,DE,5.0817609,.56666666,.37916666,.046979867,35.948528,51,,,,,
1980,DE,5.0454798,.54142582,.37186897,.098159507,34.153027,51,-.036281109,5.0817609,.046979867,35.948528,
1981,DE,5.1690526,.58653843,.31971154,.063604243,34.430328,51,.12357283,5.0454798,.098159507,34.153027,-.036281109
1982,DE,5.2772341,.62041885,.29842931,.067164183,34.983124,51,.10818148,5.1690526,.063604243,34.430328,.12357283
1983,DE,5.3754807,.61702126,.26004729,.083067089,35.973179,51,.098246574,5.2772341,.067164183,34.983124,.10818148
1984,DE,5.3498449,.65645516,.27789935,.048484847,35.716667,51,-.025635719,5.3754807,.083067089,35.973179,.098246574
1985,DE,5.4589629,.66666669,.25503355,.039039038,36.671143,51,.10911798,5.3498449,.048484847,35.716667,-.025635719
1986,DE,5.5729451,.70476192,.20476191,.050898202,37.425674,51,.1139822,5.4589629,.039039038,36.671143,.10911798
1987,DE,5.556356,.70327103,.21495327,.044642858,36.887043,51,-.016589165,5.5729451,.050898202,37.425674,.1139822
1988,DE,5.6864944,.75056177,.19550562,.016759777,37.047905,51,.1301384,5.556356,.044642858,36.887043,-.016589165
1989,DE,5.7252526,.71917808,0,.029680366,37.51746,51,.038758278,5.6864944,.016759777,37.047905,.1301384
1990,DE,5.7980251,.71499997,0,.0275,37.409092,51,.072772503,5.7252526,.029680366,37.51746,.038758278
1991,DE,5.8661628,.7064935,0,.031168832,37.308823,51,.068137646,5.7980251,.0275,37.409092,.072772503
1992,DE,5.933424,.72868216,0,.04134367,38.510639,51,.067261219,5.8661628,.031168832,37.308823,.068137646
1993,DE,5.9008012,.72864324,0,.035175879,37.027588,51,-.032622814,5.933424,.04134367,38.510639,.067261219
1994,DE,5.8975754,.70738637,.21590909,.032608695,35.847389,51,-.0032258034,5.9008012,.035175879,37.027588,-.032622814
1995,DE,5.9459071,.70316303,.1970803,.039393939,34.896194,51,.048331738,5.8975754,.032608695,35.847389,-.0032258034
1996,DE,5.9486661,.71587741,.20891365,.035211269,35.385216,51,.0027589798,5.9459071,.039393939,34.896194,.048331738
1997,DE,6.0446167,.72307694,.21794872,.019672131,36.265957,51,.095950603,5.9486661,.035211269,35.385216,.0027589798
1998,DE,6.075768,.71938777,.19387755,.044303797,34.833332,51,.031151295,6.0446167,.019672131,36.265957,.095950603
1999,DE,6.0968337,.7372449,.19642857,.0095238099,36.3564,51,.021065712,6.075768,.044303797,34.833332,.031151295
1979,FL,4.9951677,.56827819,.33587787,.051085569,37.44627,59,,,,,
1980,FL,5.0969396,.58532566,.33553174,.053349875,37.454929,59,.10177183,4.9951677,.051085569,37.44627,
1981,FL,5.1559696,.5942623,.30655739,.054373521,37.191723,59,.059030056,5.0969396,.053349875,37.454929,.10177183
1982,FL,5.2619004,.59533072,.30116731,.064587973,37.607841,59,.10593081,5.1559696,.054373521,37.191723,.059030056
1983,FL,5.3122873,.60785824,.28428352,.075349838,37.031685,59,.050386906,5.2619004,.064587973,37.607841,.10593081
1984,FL,5.3924785,.58538407,.30648771,.064516127,37.373249,59,.080191135,5.3122873,.075349838,37.031685,.050386906
1985,FL,5.4422836,.62736118,.28105325,.051751591,37.989964,59,.049805164,5.3924785,.064516127,37.373249,.080191135
1986,FL,5.4897118,.66045427,.25101921,.038880248,38.085537,59,.047428131,5.4422836,.051751591,37.989964,.049805164
1987,FL,5.5105157,.66139239,.23681435,.046302695,37.994419,59,.020803928,5.4897118,.038880248,38.085537,.047428131
1988,FL,5.5952902,.66200697,.23364952,.050162867,38.617645,59,.084774494,5.5105157,.046302695,37.994419,.020803928
1989,FL,5.6637554,.67853659,0,.034634147,38.557873,59,.068465233,5.5952902,.050162867,38.617645,.084774494
1990,FL,5.7173333,.65434563,0,.032967035,38.667938,59,.0535779,5.6637554,.034634147,38.557873,.068465233
1991,FL,5.7595134,.66511148,0,.039398652,38.420887,59,.042180061,5.7173333,.032967035,38.667938,.0535779
1992,FL,5.7770243,.65428728,0,.04369197,37.897327,59,.017510891,5.7595134,.039398652,38.420887,.042180061
1993,FL,5.8471785,.67640805,0,.034537725,38.457973,59,.07015419,5.7770243,.04369197,37.897327,.017510891
1994,FL,5.8027549,.65162039,.2337963,.057401814,36.28952,59,-.04442358,5.8471785,.034537725,38.457973,.07015419
1995,FL,5.8782482,.65405732,.24161074,.041834272,35.225746,59,.075493336,5.8027549,.057401814,36.28952,-.04442358
1996,FL,5.9062204,.67107636,.22128683,.052509654,35.498207,59,.027972221,5.8782482,.041834272,35.225746,.075493336
1997,FL,5.985621,.68840581,.21618357,.036209553,36.277191,59,.079400539,5.9062204,.052509654,35.498207,.027972221
1998,FL,5.9988666,.68780196,.21859904,.039412674,35.640034,59,.013245583,5.985621,.036209553,36.277191,.079400539
1999,FL,5.994894,.6794343,.23158514,.029907975,35.353859,59,-.0039725304,5.9988666,.039412674,35.640034,.013245583
1979,GA,5.0993643,.55739647,.35147929,.072992697,37.972401,58,,,,,
1980,GA,5.12185,.58007115,.30604982,.083760686,37.58691,58,.022485733,5.0993643,.072992697,37.972401,
1981,GA,5.1956248,.5986079,.31670535,.062818334,37.428295,58,.073774815,5.12185,.083760686,37.58691,.022485733
1982,GA,5.3109269,.60700876,.29787233,.071301244,37.651546,58,.11530209,5.1956248,.062818334,37.428295,.073774815
1983,GA,5.3159709,.59487778,.30616996,.075503357,37.69276,58,.0050439835,5.3109269,.071301244,37.651546,.11530209
1984,GA,5.3395443,.62568307,.28825137,.057581574,37.021835,58,.023573399,5.3159709,.075503357,37.69276,.0050439835
1985,GA,5.4356065,.66666669,.21925133,.089041099,38.743317,58,.096062183,5.3395443,.057581574,37.021835,.023573399
1986,GA,5.4642172,.65654647,.24288425,.072681703,37.109825,58,.028610706,5.4356065,.089041099,38.743317,.096062183
1987,GA,5.5252066,.71262133,.23495145,.030456852,38.479565,58,.06098938,5.4642172,.072681703,37.109825,.028610706
1988,GA,5.5590572,.64963502,.24635036,.065375306,37.632023,58,.03385067,5.5252066,.030456852,38.479565,.06098938
1989,GA,5.726366,.70481926,0,.028112451,38.299145,58,.16730881,5.5590572,.065375306,37.632023,.03385067
1990,GA,5.7656407,.66977614,0,.018656716,39.069637,58,.039274693,5.726366,.028112451,38.299145,.16730881
1991,GA,5.778317,.6699605,0,.027667984,38.191742,58,.012676239,5.7656407,.018656716,39.069637,.039274693
1992,GA,5.7382178,.66044778,0,.039179105,37.895481,58,-.040099144,5.778317,.027667984,38.191742,.012676239
1993,GA,5.8169756,.64173913,0,.027826088,37.571815,58,.078757763,5.7382178,.039179105,37.895481,-.040099144
1994,GA,5.8877254,.68545991,.24035609,.05078125,36.863636,58,.07074976,5.8169756,.027826088,37.571815,.078757763
1995,GA,5.8713565,.67986518,.23420388,.044004399,36.599751,58,-.016368866,5.8877254,.05078125,36.863636,.07074976
1996,GA,5.8977647,.66111952,.23903178,.047713719,35.180779,58,.026408195,5.8713565,.044004399,36.599751,-.016368866
1997,GA,5.9735737,.66806722,.23669468,.040366974,35.809223,58,.075809002,5.8977647,.047713719,35.180779,.026408195
1998,GA,5.9724531,.69111425,.21015514,.04107143,36.275509,58,-.0011205673,5.9735737,.040366974,35.809223,.075809002
1999,GA,6.0586829,.72023809,.20684524,.020637898,37.227272,58,.086229801,5.9724531,.04107143,36.275509,-.0011205673
1979,HI,5.1456742,.6795252,.24925816,.043478262,36.91703,95,,,,,
1980,HI,5.263412,.61319071,.30837789,.036082473,37.622093,95,.11773777,5.1456742,.043478262,36.91703,
1981,HI,5.3630815,.61553401,.27766991,.048387095,37.242901,95,.099669456,5.263412,.036082473,37.622093,.11773777
1982,HI,5.3921962,.67075664,.2392638,.045698926,37.530487,95,.029114723,5.3630815,.048387095,37.242901,.099669456
1983,HI,5.4486094,.60699588,.28806585,.040462427,37.308475,95,.056413174,5.3921962,.045698926,37.530487,.029114723
1984,HI,5.5261726,.65681821,.25,.042424243,36.961937,95,.077563286,5.4486094,.040462427,37.308475,.056413174
1985,HI,5.5303421,.62972289,.25440806,.040540539,37.863998,95,.0041694641,5.5261726,.042424243,36.961937,.077563286
1986,HI,5.5851293,.66150445,.24115044,.052478135,37.337791,95,.054787159,5.5303421,.040540539,37.863998,.0041694641
1987,HI,5.5493226,.66000003,.25111112,.03560831,36.525253,95,-.035806656,5.5851293,.052478135,37.337791,.054787159
1988,HI,5.6772728,.64597702,.24597701,.036585364,37.718861,95,.12795019,5.5493226,.03560831,36.525253,-.035806656
1989,HI,5.8446488,.6747573,0,.024271844,38.46043,95,.16737604,5.6772728,.036585364,37.718861,.12795019
1990,HI,5.838922,.67241377,0,.021551725,38.339745,95,-.0057268143,5.8446488,.024271844,38.46043,.16737604
1991,HI,5.9599314,.70823532,0,.032941177,39.15947,95,.12100935,5.838922,.021551725,38.339745,-.0057268143
1992,HI,5.9542241,.71070617,0,.027334852,37.762821,95,-.0057072639,5.9599314,.032941177,39.15947,.12100935
1993,HI,6.0427217,.6707921,0,.037128713,39.099632,95,.088497639,5.9542241,.027334852,37.762821,-.0057072639
1994,HI,5.9296012,.71034485,.1816092,.047752809,35.663429,95,-.11312056,6.0427217,.037128713,39.099632,.088497639
1995,HI,5.889925,.69191921,.19949494,.03154574,34.671532,95,-.039676189,5.9296012,.047752809,35.663429,-.11312056
1996,HI,5.9632525,.68671679,.21553884,.025559105,35,95,.073327541,5.889925,.03154574,34.671532,-.039676189
1997,HI,5.9745092,.65642458,.21508379,.049822062,35.365959,95,.011256695,5.9632525,.025559105,35,.073327541
1998,HI,6.0413189,.6931507,.18630137,.070707068,37.743084,95,.066809654,5.9745092,.049822062,35.365959,.011256695
1999,HI,6.0492506,.72802198,.15659341,.029315962,36.045284,95,.0079317093,6.0413189,.070707068,37.743084,.066809654
1979,IA,4.9748783,.53676468,.3272059,.049180329,36.589043,42,,,,,
1980,IA,4.9715271,.51631206,.35177305,.045951858,34.40934,42,-.0033512115,4.9748783,.049180329,36.589043,
1981,IA,5.1362629,.52655536,.32625189,.076576576,34.729107,42,.16473579,4.9715271,.045951858,34.40934,-.0033512115
1982,IA,5.2289419,.57326895,.29790661,.052752294,35.126404,42,.092679024,5.1362629,.076576576,34.729107,.16473579
1983,IA,5.1552691,.59265441,.26711187,.075170845,33.588734,42,-.073672771,5.2289419,.052752294,35.126404,.092679024
1984,IA,5.2508135,.61538464,.25091577,.039119806,35.369049,42,.095544338,5.1552691,.075170845,33.588734,-.073672771
